1,Maria Petrova,0888123456,MATHEMATICS,maria.petrova@hbschool.bg
2,Ivan Georgiev,0889234567,MATHEMATICS,ivan.georgiev@hbschool.bg
3,Elena Dimitrova,0887345678,MATHEMATICS,elena.dimitrova@hbschool.bg
4,Stefka Nikolova,0886456789,BULGARIAN,stefka.nikolova@hbschool.bg
5,Petar Stoyanov,0885567890,BULGARIAN,petar.stoyanov@hbschool.bg
6,Anna Hristova,0884678901,BULGARIAN,anna.hristova@hbschool.bg
7,Maria Ivanova,0883789012,ENGLISH,maria.ivanova@hbschool.bg
8,Georgi Petkov,0882890123,ENGLISH,georgi.petkov@hbschool.bg
9,Desislava Todorova,0881901234,ENGLISH,desislava.todorova@hbschool.bg
10,Nikolay Vasilev,0880012345,HISTORY,nikolay.vasilev@hbschool.bg
11,Radka Georgieva,0889123456,HISTORY,radka.georgieva@hbschool.bg
12,Stoyan Dimitrov,0888234567,GEOGRAPHY,stoyan.dimitrov@hbschool.bg
13,Milena Petrova,0887345678,GEOGRAPHY,milena.petrova@hbschool.bg
14,Veselina Stoeva,0886456789,BIOLOGY,veselina.stoeva@hbschool.bg
15,Dimitar Nikolov,0885567890,BIOLOGY,dimitar.nikolov@hbschool.bg
16,Krasimira Yordanova,0884678901,CHEMISTRY,krasimira.yordanova@hbschool.bg
17,Atanas Petrov,0883789012,CHEMISTRY,atanas.petrov@hbschool.bg
18,Borislav Georgiev,0882890123,PHYSICS,borislav.georgiev@hbschool.bg
19,Tsvetelina Dimova,0881901234,PHYSICS,tsvetelina.dimova@hbschool.bg
20,Stefan Stefanov,0880012345,PHYSICAL_EDUCATION,stefan.stefanov@hbschool.bg
21,Maria Kostova,0889123456,PHYSICAL_EDUCATION,maria.kostova@hbschool.bg
22,Elitsa Vasileva,0888234567,ART,elitsa.vasileva@hbschool.bg
23,Hristo Hristov,0887345678,ART,hristo.hristov@hbschool.bg
24,Nevena Petkova,0886456789,MUSIC,nevena.petkova@hbschool.bg
25,Vladimir Todorov,0885567890,MUSIC,vladimir.todorov@hbschool.bg
26,Plamen Georgiev,0884678901,TECHNOLOGY,plamen.georgiev@hbschool.bg
27,Silvia Nikolova,0883789012,TECHNOLOGY,silvia.nikolova@hbschool.bg
28,Aleksandar Dimitrov,0882890123,COMPUTER_SCIENCE,aleksandar.dimitrov@hbschool.bg
29,Ivelina Stoyanova,0881901234,COMPUTER_SCIENCE,ivelina.stoyanova@hbschool.bg
30,Martin Petrov,0880012345,GERMAN,martin.petrov@hbschool.bg
31,Galina Georgieva,0889123456,GERMAN,galina.georgieva@hbschool.bg
32,Rositsa Dimitrova,0888234567,FRENCH,rositsa.dimitrova@hbschool.bg
33,Vasil Nikolov,0887345678,PHILOSOPHY,vasil.nikolov@hbschool.bg
34,Daniela Petkova,0886456789,PSYCHOLOGY,daniela.petkova@hbschool.bg
35,Director Ivan Stoyanov,0885567890,ADMINISTRATOR,director@hbschool.bg
110,Anton Petkov,088565010,5A,anton.petkov.5a@student.hbschool.bg
120,Atanas Stefanov,088565020,5A,atanas.stefanov.5a@student.hbschool.bg
102,Boris Georgiev,088565002,5A,boris.georgiev.5a@student.hbschool.bg
104,Boris Stoyanov,088565004,5A,boris.stoyanov.5a@student.hbschool.bg
108,Boris Vasilev,088565008,5A,boris.vasilev.5a@student.hbschool.bg
111,Daniela Dimitrova,088565011,5A,daniela.dimitrova.5a@student.hbschool.bg
115,Hristina Petkova,088565015,5A,hristina.petkova.5a@student.hbschool.bg
113,Kristina Todorova,088565013,5A,kristina.todorova.5a@student.hbschool.bg
117,Nevena Nikolova,088565017,5A,nevena.nikolova.5a@student.hbschool.bg
116,Nikolay Stefanov,088565016,5A,nikolay.stefanov.5a@student.hbschool.bg
103,Olga Nikolova,088565003,5A,olga.nikolova.5a@student.hbschool.bg
112,Petar Petrov,088565012,5A,petar.petrov.5a@student.hbschool.bg
101,Petya Petkova,088565001,5A,petya.petkova.5a@student.hbschool.bg
106,Plamen Stefanov,088565006,5A,plamen.stefanov.5a@student.hbschool.bg
105,Radina Stoyanova,088565005,5A,radina.stoyanova.5a@student.hbschool.bg
114,Rosen Kostov,088565014,5A,rosen.kostov.5a@student.hbschool.bg
109,Silvia Ivanova,088565009,5A,silvia.ivanova.5a@student.hbschool.bg
119,Stefka Petkova,088565019,5A,stefka.petkova.5a@student.hbschool.bg
118,Vladimir Vasilev,088565018,5A,vladimir.vasilev.5a@student.hbschool.bg
107,Zlatka Stefanova,088565007,5A,zlatka.stefanova.5a@student.hbschool.bg
124,Aleksandar Dimitrov,088566004,5B,aleksandar.dimitrov.5b@student.hbschool.bg
134,Boris Hristov,088566014,5B,boris.hristov.5b@student.hbschool.bg
128,Boris Ivanov,088566008,5B,boris.ivanov.5b@student.hbschool.bg
133,Darina Ivanova,088566013,5B,darina.ivanova.5b@student.hbschool.bg
136,Dimitar Stoyanov,088566016,5B,dimitar.stoyanov.5b@student.hbschool.bg
123,Eva Kostova,088566003,5B,eva.kostova.5b@student.hbschool.bg
135,Hristina Stefanova,088566015,5B,hristina.stefanova.5b@student.hbschool.bg
126,Hristo Ivanov,088566006,5B,hristo.ivanov.5b@student.hbschool.bg
122,Kaloyan Todorov,088566002,5B,kaloyan.todorov.5b@student.hbschool.bg
125,Karina Todorova,088566005,5B,karina.todorova.5b@student.hbschool.bg
129,Maria Kostova,088566009,5B,maria.kostova.5b@student.hbschool.bg
137,Nevena Ivanova,088566017,5B,nevena.ivanova.5b@student.hbschool.bg
139,Nevena Stefanova,088566019,5B,nevena.stefanova.5b@student.hbschool.bg
138,Petar Stoyanov,088566018,5B,petar.stoyanov.5b@student.hbschool.bg
132,Petar Vasilev,088566012,5B,petar.vasilev.5b@student.hbschool.bg
127,Ralitsa Stefanova,088566007,5B,ralitsa.stefanova.5b@student.hbschool.bg
130,Valentin Ivanov,088566010,5B,valentin.ivanov.5b@student.hbschool.bg
140,Viktor Petrov,088566020,5B,viktor.petrov.5b@student.hbschool.bg
131,Zlatka Nikolova,088566011,5B,zlatka.nikolova.5b@student.hbschool.bg
121,Zlatka Stoyanova,088566001,5B,zlatka.stoyanova.5b@student.hbschool.bg
158,Aleksandar Vasilev,088567018,5C,aleksandar.vasilev.5c@student.hbschool.bg
153,Bilyana Ivanova,088567013,5C,bilyana.ivanova.5c@student.hbschool.bg
145,Darina Petkova,088567005,5C,darina.petkova.5c@student.hbschool.bg
149,Elena Ivanova,088567009,5C,elena.ivanova.5c@student.hbschool.bg
147,Elitsa Stefanova,088567007,5C,elitsa.stefanova.5c@student.hbschool.bg
151,Hristina Petrova,088567011,5C,hristina.petrova.5c@student.hbschool.bg
154,Ivan Dimitrov,088567014,5C,ivan.dimitrov.5c@student.hbschool.bg
160,Pavel Petkov,088567020,5C,pavel.petkov.5c@student.hbschool.bg
150,Petar Stefanov,088567010,5C,petar.stefanov.5c@student.hbschool.bg
159,Petya Dimitrova,088567019,5C,petya.dimitrova.5c@student.hbschool.bg
155,Radina Stefanova,088567015,5C,radina.stefanova.5c@student.hbschool.bg
152,Rosen Hristov,088567012,5C,rosen.hristov.5c@student.hbschool.bg
142,Stefan Ivanov,088567002,5C,stefan.ivanov.5c@student.hbschool.bg
144,Stefan Nikolov,088567004,5C,stefan.nikolov.5c@student.hbschool.bg
143,Stefka Georgieva,088567003,5C,stefka.georgieva.5c@student.hbschool.bg
148,Todor Georgiev,088567008,5C,todor.georgiev.5c@student.hbschool.bg
146,Veselin Stoyanov,088567006,5C,veselin.stoyanov.5c@student.hbschool.bg
156,Viktor Hristov,088567016,5C,viktor.hristov.5c@student.hbschool.bg
141,Zhaneta Kostova,088567001,5C,zhaneta.kostova.5c@student.hbschool.bg
157,Zhaneta Todorova,088567017,5C,zhaneta.todorova.5c@student.hbschool.bg
178,Anton Georgiev,088568018,5D,anton.georgiev.5d@student.hbschool.bg
177,Daniela Stefanova,088568017,5D,daniela.stefanova.5d@student.hbschool.bg
179,Galina Petrova,088568019,5D,galina.petrova.5d@student.hbschool.bg
180,Hristo Ivanov,088568020,5D,hristo.ivanov.5d@student.hbschool.bg
172,Ivan Stefanov,088568012,5D,ivan.stefanov.5d@student.hbschool.bg
166,Jivko Hristov,088568006,5D,jivko.hristov.5d@student.hbschool.bg
167,Karina Georgieva,088568007,5D,karina.georgieva.5d@student.hbschool.bg
169,Karina Stefanova,088568009,5D,karina.stefanova.5d@student.hbschool.bg
165,Kristina Ivanova,088568005,5D,kristina.ivanova.5d@student.hbschool.bg
175,Kristina Petkova,088568015,5D,kristina.petkova.5d@student.hbschool.bg
162,Lyubomir Kostov,088568002,5D,lyubomir.kostov.5d@student.hbschool.bg
163,Maria Dimitrova,088568003,5D,maria.dimitrova.5d@student.hbschool.bg
174,Martin Nikolov,088568014,5D,martin.nikolov.5d@student.hbschool.bg
171,Milena Todorova,088568011,5D,milena.todorova.5d@student.hbschool.bg
170,Nikola Dimitrov,088568010,5D,nikola.dimitrov.5d@student.hbschool.bg
